1965.589041
   Z       E         F
   9  3.097E+00  6.025E-03
   9  3.561E+00  6.250E-03
   9  4.093E+00  6.412E-03
   9  4.706E+00  6.502E-03
   9  5.411E+00  6.513E-03
   9  6.222E+00  6.438E-03
   9  7.154E+00  6.277E-03
   9  8.225E+00  6.032E-03
   9  9.456E+00  5.710E-03
   9  1.087E+01  5.322E-03
   9  1.250E+01  4.881E-03
   9  1.437E+01  4.403E-03
   9  1.652E+01  3.907E-03
   9  1.900E+01  3.409E-03
   9  2.185E+01  2.924E-03
   9  2.512E+01  2.467E-03
   9  2.888E+01  2.048E-03
   9  3.321E+01  1.672E-03
   9  3.817E+01  1.345E-03
   9  4.389E+01  1.065E-03
   9  5.046E+01  8.318E-04
   9  5.803E+01  6.407E-04
   9  6.671E+01  4.874E-04
   9  7.670E+01  3.663E-04
   9  8.820E+01  2.722E-04
   9  1.014E+02  2.003E-04
   9  1.166E+02  1.460E-04
   9  1.340E+02  1.055E-04
   9  1.541E+02  7.569E-05
   9  1.772E+02  5.390E-05
   9  2.037E+02  3.817E-05
   9  2.343E+02  2.684E-05
   9  2.692E+02  1.881E-05
   9  3.097E+02  1.310E-05
   9  3.561E+02  9.096E-06
   9  4.093E+02  6.299E-06
   9  4.706E+02  4.342E-06
   9  5.411E+02  2.987E-06
   9  6.222E+02  2.049E-06
   9  7.154E+02  1.403E-06
   9  8.225E+02  9.588E-07
   9  9.456E+02  6.543E-07
   9  1.087E+03  4.459E-07
   9  1.250E+03  3.034E-07
   9  1.437E+03  2.062E-07
   9  1.652E+03  1.401E-07
   9  1.900E+03  9.502E-08
   9  2.185E+03  6.439E-08
   9  2.512E+03  4.365E-08
   9  2.888E+03  2.956E-08
   9  3.321E+03  2.000E-08
   9  3.817E+03  1.354E-08
   9  4.389E+03  9.159E-09
   9  5.046E+03  6.192E-09
   9  5.803E+03  4.184E-09
   9  6.671E+03  2.829E-09
   9  7.670E+03  1.911E-09
   9  8.820E+03  1.290E-09
   9  1.014E+04  8.716E-10
   9  1.166E+04  5.887E-10
   9  1.340E+04  3.975E-10
   9  1.541E+04  2.684E-10
   9  1.772E+04  1.812E-10
   9  2.037E+04  1.224E-10
   9  2.343E+04  8.252E-11
   9  2.692E+04  5.577E-11
   9  3.097E+04  3.759E-11
   9  3.561E+04  2.537E-11
   9  4.093E+04  1.714E-11
   9  4.706E+04  1.156E-11
   9  5.411E+04  7.799E-12
   9  6.222E+04  5.260E-12
   9  7.154E+04  3.551E-12
   9  8.225E+04  2.396E-12
   9  9.456E+04  1.617E-12
   9  1.087E+05  1.091E-12
   9  1.250E+05  7.361E-13
   9  1.437E+05  4.966E-13
   9  1.652E+05  3.351E-13
   9  1.900E+05  2.261E-13
  10  2.000E-01  6.061E-03
  10  2.300E-01  6.901E-03
  10  2.644E-01  7.843E-03
  10  3.040E-01  8.900E-03
  10  3.496E-01  1.008E-02
  10  4.018E-01  1.139E-02
  10  4.620E-01  1.285E-02
  10  5.312E-01  1.445E-02
  10  6.108E-01  1.620E-02
  10  7.022E-01  1.810E-02
  10  8.074E-01  2.014E-02
  10  9.284E-01  2.232E-02
  10  1.067E+00  2.461E-02
  10  1.227E+00  2.699E-02
  10  1.411E+00  2.943E-02
  10  1.622E+00  3.188E-02
  10  1.865E+00  3.428E-02
  10  2.144E+00  3.657E-02
  10  2.466E+00  3.869E-02
  10  2.834E+00  4.055E-02
  10  3.260E+00  4.208E-02
  10  3.748E+00  4.320E-02
  10  4.308E+00  4.384E-02
  10  4.954E+00  4.397E-02
  10  5.696E+00  4.354E-02
  10  6.550E+00  4.255E-02
  10  7.530E+00  4.101E-02
  10  8.658E+00  3.897E-02
  10  9.954E+00  3.649E-02
  10  1.144E+01  3.365E-02
  10  1.316E+01  3.057E-02
  10  1.513E+01  2.733E-02
  10  1.739E+01  2.406E-02
  10  2.000E+01  2.085E-02
  10  2.300E+01  1.779E-02
  10  2.644E+01  1.495E-02
  10  3.040E+01  1.237E-02
  10  3.496E+01  1.008E-02
  10  4.018E+01  8.106E-03
  10  4.620E+01  6.425E-03
  10  5.312E+01  5.025E-03
  10  6.108E+01  3.881E-03
  10  7.022E+01  2.963E-03
  10  8.074E+01  2.237E-03
  10  9.284E+01  1.671E-03
  10  1.067E+02  1.236E-03
  10  1.227E+02  9.067E-04
  10  1.411E+02  6.596E-04
  10  1.622E+02  4.764E-04
  10  1.865E+02  3.417E-04
  10  2.144E+02  2.438E-04
  10  2.466E+02  1.727E-04
  10  2.834E+02  1.220E-04
  10  3.260E+02  8.564E-05
  10  3.748E+02  5.995E-05
  10  4.308E+02  4.185E-05
  10  4.954E+02  2.909E-05
  10  5.696E+02  2.017E-05
  10  6.550E+02  1.395E-05
  10  7.530E+02  9.634E-06
  10  8.658E+02  6.638E-06
  10  9.954E+02  4.568E-06
  10  1.144E+03  3.139E-06
  10  1.316E+03  2.154E-06
  10  1.513E+03  1.476E-06
  10  1.739E+03  1.011E-06
  10  2.000E+03  6.916E-07
  10  2.300E+03  4.725E-07
  10  2.644E+03  3.230E-07
  10  3.040E+03  2.206E-07
  10  3.496E+03  1.505E-07
  10  4.018E+03  1.028E-07
  10  4.620E+03  7.008E-08
  10  5.312E+03  4.778E-08
  10  6.108E+03  3.256E-08
  10  7.022E+03  2.220E-08
  10  8.074E+03  1.512E-08
  10  9.284E+03  1.030E-08
  10  1.067E+04  7.013E-09
  10  1.227E+04  4.777E-09
  10  1.411E+04  3.252E-09
  10  1.622E+04  2.215E-09
  10  1.865E+04  1.507E-09
  10  2.144E+04  1.027E-09
  10  2.466E+04  6.982E-10
  10  2.834E+04  4.758E-10
  10  3.260E+04  3.234E-10
  10  3.748E+04  2.201E-10
  10  4.308E+04  1.499E-10
  10  4.954E+04  1.020E-10
  10  5.696E+04  6.939E-11
  10  6.550E+04  4.720E-11
  10  7.530E+04  3.212E-11
  10  8.658E+04  2.186E-11
  10  9.954E+04  1.487E-11
  10  1.144E+05  1.012E-11
  10  1.316E+05  6.887E-12
  10  1.513E+05  4.684E-12
  10  1.739E+05  3.188E-12
  10  2.000E+05  2.169E-12
  11  2.300E-01  1.386E-03
  11  2.645E-01  1.577E-03
  11  3.041E-01  1.791E-03
  11  3.496E-01  2.031E-03
  11  4.020E-01  2.299E-03
  11  4.621E-01  2.596E-03
  11  5.313E-01  2.924E-03
  11  6.109E-01  3.285E-03
  11  7.024E-01  3.678E-03
  11  8.075E-01  4.103E-03
  11  9.285E-01  4.558E-03
  11  1.068E+00  5.042E-03
  11  1.228E+00  5.548E-03
  11  1.411E+00  6.071E-03
  11  1.623E+00  6.603E-03
  11  1.866E+00  7.132E-03
  11  2.145E+00  7.646E-03
  11  2.466E+00  8.129E-03
  11  2.836E+00  8.569E-03
  11  3.259E+00  8.943E-03
  11  3.749E+00  9.241E-03
  11  4.310E+00  9.444E-03
  11  4.954E+00  9.538E-03
  11  5.697E+00  9.516E-03
  11  6.550E+00  9.372E-03
  11  7.532E+00  9.105E-03
  11  8.660E+00  8.723E-03
  11  9.957E+00  8.235E-03
  11  1.145E+01  7.660E-03
  11  1.316E+01  7.016E-03
  11  1.513E+01  6.327E-03
  11  1.740E+01  5.615E-03
  11  2.000E+01  4.906E-03
  11  2.300E+01  4.218E-03
  11  2.645E+01  3.569E-03
  11  3.041E+01  2.974E-03
  11  3.496E+01  2.439E-03
  11  4.020E+01  1.971E-03
  11  4.621E+01  1.570E-03
  11  5.313E+01  1.233E-03
  11  6.109E+01  9.555E-04
  11  7.024E+01  7.309E-04
  11  8.075E+01  5.526E-04
  11  9.285E+01  4.130E-04
  11  1.068E+02  3.054E-04
  11  1.228E+02  2.237E-04
  11  1.411E+02  1.624E-04
  11  1.623E+02  1.169E-04
  11  1.866E+02  8.357E-05
  11  2.145E+02  5.931E-05
  11  2.466E+02  4.187E-05
  11  2.836E+02  2.935E-05
  11  3.259E+02  2.051E-05
  11  3.749E+02  1.424E-05
  11  4.310E+02  9.861E-06
  11  4.954E+02  6.809E-06
  11  5.697E+02  4.681E-06
  11  6.550E+02  3.211E-06
  11  7.532E+02  2.196E-06
  11  8.660E+02  1.500E-06
  11  9.957E+02  1.022E-06
  11  1.145E+03  6.958E-07
  11  1.316E+03  4.728E-07
  11  1.513E+03  3.209E-07
  11  1.740E+03  2.174E-07
  11  2.000E+03  1.473E-07
  11  2.300E+03  9.966E-08
  11  2.645E+03  6.734E-08
  11  3.041E+03  4.553E-08
  11  3.496E+03  3.075E-08
  11  4.020E+03  2.074E-08
  11  4.621E+03  1.401E-08
  11  5.313E+03  9.448E-09
  11  6.109E+03  6.370E-09
  11  7.024E+03  4.293E-09
  11  8.075E+03  2.894E-09
  11  9.285E+03  1.949E-09
  11  1.068E+04  1.313E-09
  11  1.228E+04  8.843E-10
  11  1.411E+04  5.956E-10
  11  1.623E+04  4.010E-10
  11  1.866E+04  2.700E-10
  11  2.145E+04  1.818E-10
  11  2.466E+04  1.224E-10
  11  2.836E+04  8.233E-11
  11  3.259E+04  5.549E-11
  11  3.749E+04  3.729E-11
  11  4.310E+04  2.510E-11
  11  4.954E+04  1.691E-11
  11  5.697E+04  1.137E-11
  11  6.550E+04  7.652E-12
  11  7.532E+04  5.147E-12
  11  8.660E+04  3.464E-12
  11  9.957E+04  2.331E-12
  11  1.145E+05  1.569E-12
  11  1.316E+05  1.056E-12
  11  1.513E+05  7.103E-13
  11  1.740E+05  4.778E-13
  11  2.000E+05  3.216E-13
  11  2.300E+05  2.163E-13
  12  2.400E-01  4.744E-03
  12  2.760E-01  5.407E-03
  12  3.173E-01  6.154E-03
  12  3.648E-01  6.995E-03
  12  4.195E-01  7.938E-03
  12  4.822E-01  8.987E-03
  12  5.544E-01  1.016E-02
  12  6.374E-01  1.145E-02
  12  7.330E-01  1.288E-02
  12  8.426E-01  1.443E-02
  12  9.689E-01  1.612E-02
  12  1.114E+00  1.794E-02
  12  1.281E+00  1.987E-02
  12  1.473E+00  2.191E-02
  12  1.693E+00  2.403E-02
  12  1.947E+00  2.619E-02
  12  2.238E+00  2.836E-02
  12  2.573E+00  3.048E-02
  12  2.959E+00  3.252E-02
  12  3.401E+00  3.438E-02
  12  3.912E+00  3.603E-02
  12  4.498E+00  3.737E-02
  12  5.170E+00  3.835E-02
  12  5.945E+00  3.890E-02
  12  6.835E+00  3.899E-02
  12  7.860E+00  3.858E-02
  12  9.036E+00  3.766E-02
  12  1.039E+01  3.626E-02
  12  1.194E+01  3.440E-02
  12  1.373E+01  3.215E-02
  12  1.579E+01  2.959E-02
  12  1.816E+01  2.680E-02
  12  2.087E+01  2.390E-02
  12  2.400E+01  2.097E-02
  12  2.760E+01  1.811E-02
  12  3.173E+01  1.539E-02
  12  3.648E+01  1.288E-02
  12  4.195E+01  1.061E-02
  12  4.822E+01  8.622E-03
  12  5.544E+01  6.902E-03
  12  6.374E+01  5.450E-03
  12  7.330E+01  4.248E-03
  12  8.426E+01  3.273E-03
  12  9.689E+01  2.492E-03
  12  1.114E+02  1.877E-03
  12  1.281E+02  1.401E-03
  12  1.473E+02  1.036E-03
  12  1.693E+02  7.597E-04
  12  1.947E+02  5.532E-04
  12  2.238E+02  4.000E-04
  12  2.573E+02  2.876E-04
  12  2.959E+02  2.054E-04
  12  3.401E+02  1.463E-04
  12  3.912E+02  1.035E-04
  12  4.498E+02  7.303E-05
  12  5.170E+02  5.139E-05
  12  5.945E+02  3.601E-05
  12  6.835E+02  2.517E-05
  12  7.860E+02  1.755E-05
  12  9.036E+02  1.222E-05
  12  1.039E+03  8.490E-06
  12  1.194E+03  5.890E-06
  12  1.373E+03  4.081E-06
  12  1.579E+03  2.823E-06
  12  1.816E+03  1.951E-06
  12  2.087E+03  1.347E-06
  12  2.400E+03  9.293E-07
  12  2.760E+03  6.403E-07
  12  3.173E+03  4.413E-07
  12  3.648E+03  3.039E-07
  12  4.195E+03  2.090E-07
  12  4.822E+03  1.440E-07
  12  5.544E+03  9.899E-08
  12  6.374E+03  6.805E-08
  12  7.330E+03  4.677E-08
  12  8.426E+03  3.214E-08
  12  9.689E+03  2.208E-08
  12  1.114E+04  1.516E-08
  12  1.281E+04  1.041E-08
  12  1.473E+04  7.153E-09
  12  1.693E+04  4.911E-09
  12  1.947E+04  3.372E-09
  12  2.238E+04  2.315E-09
  12  2.573E+04  1.590E-09
  12  2.959E+04  1.090E-09
  12  3.401E+04  7.492E-10
  12  3.912E+04  5.135E-10
  12  4.498E+04  3.524E-10
  12  5.170E+04  2.420E-10
  12  5.945E+04  1.660E-10
  12  6.835E+04  1.139E-10
  12  7.860E+04  7.814E-11
  12  9.036E+04  5.363E-11
  12  1.039E+05  3.680E-11
  12  1.194E+05  2.525E-11
  12  1.373E+05  1.733E-11
  12  1.579E+05  1.189E-11
  12  1.816E+05  8.155E-12
  12  2.087E+05  5.597E-12
  12  2.400E+05  3.839E-12
  13  2.700E-01  9.855E-04
  13  3.105E-01  1.123E-03
  13  3.569E-01  1.276E-03
  13  4.104E-01  1.449E-03
  13  4.720E-01  1.643E-03
  13  5.424E-01  1.857E-03
  13  6.237E-01  2.096E-03
  13  7.171E-01  2.358E-03
  13  8.246E-01  2.647E-03
  13  9.480E-01  2.959E-03
  13  1.090E+00  3.298E-03
  13  1.253E+00  3.659E-03
  13  1.441E+00  4.040E-03
  13  1.657E+00  4.439E-03
  13  1.905E+00  4.848E-03
  13  2.190E+00  5.261E-03
  13  2.518E+00  5.670E-03
  13  2.894E+00  6.063E-03
  13  3.329E+00  6.432E-03
  13  3.826E+00  6.759E-03
  13  4.401E+00  7.035E-03
  13  5.060E+00  7.246E-03
  13  5.816E+00  7.379E-03
  13  6.688E+00  7.427E-03
  13  7.690E+00  7.382E-03
  13  8.842E+00  7.241E-03
  13  1.017E+01  7.006E-03
  13  1.169E+01  6.682E-03
  13  1.344E+01  6.280E-03
  13  1.545E+01  5.813E-03
  13  1.776E+01  5.297E-03
  13  2.043E+01  4.751E-03
  13  2.348E+01  4.195E-03
  13  2.700E+01  3.645E-03
  13  3.105E+01  3.115E-03
  13  3.569E+01  2.622E-03
  13  4.104E+01  2.173E-03
  13  4.720E+01  1.773E-03
  13  5.424E+01  1.427E-03
  13  6.237E+01  1.131E-03
  13  7.171E+01  8.846E-04
  13  8.246E+01  6.829E-04
  13  9.480E+01  5.211E-04
  13  1.090E+02  3.930E-04
  13  1.253E+02  2.933E-04
  13  1.441E+02  2.168E-04
  13  1.657E+02  1.588E-04
  13  1.905E+02  1.154E-04
  13  2.190E+02  8.323E-05
  13  2.518E+02  5.961E-05
  13  2.894E+02  4.247E-05
  13  3.329E+02  3.004E-05
  13  3.826E+02  2.119E-05
  13  4.401E+02  1.485E-05
  13  5.060E+02  1.038E-05
  13  5.816E+02  7.234E-06
  13  6.688E+02  5.021E-06
  13  7.690E+02  3.476E-06
  13  8.842E+02  2.401E-06
  13  1.017E+03  1.655E-06
  13  1.169E+03  1.139E-06
  13  1.344E+03  7.826E-07
  13  1.545E+03  5.370E-07
  13  1.776E+03  3.679E-07
  13  2.043E+03  2.517E-07
  13  2.348E+03  1.722E-07
  13  2.700E+03  1.176E-07
  13  3.105E+03  8.026E-08
  13  3.569E+03  5.479E-08
  13  4.104E+03  3.736E-08
  13  4.720E+03  2.545E-08
  13  5.424E+03  1.736E-08
  13  6.237E+03  1.182E-08
  13  7.171E+03  8.047E-09
  13  8.246E+03  5.476E-09
  13  9.480E+03  3.727E-09
  13  1.090E+04  2.536E-09
  13  1.253E+04  1.724E-09
  13  1.441E+04  1.173E-09
  13  1.657E+04  7.976E-10
  13  1.905E+04  5.423E-10
  13  2.190E+04  3.688E-10
  13  2.518E+04  2.507E-10
  13  2.894E+04  1.705E-10
  13  3.329E+04  1.158E-10
  13  3.826E+04  7.879E-11
  13  4.401E+04  5.348E-11
  13  5.060E+04  3.635E-11
  13  5.816E+04  2.472E-11
  13  6.688E+04  1.679E-11
  13  7.690E+04  1.141E-11
  13  8.842E+04  7.750E-12
  13  1.017E+05  5.268E-12
  13  1.169E+05  3.579E-12
  13  1.344E+05  2.432E-12
  13  1.545E+05  1.653E-12
  13  1.776E+05  1.123E-12
  13  2.043E+05  7.628E-13
  13  2.348E+05  5.184E-13
  13  2.700E+05  3.522E-13
  14  2.800E-01  3.928E-03
  14  3.220E-01  4.473E-03
  14  3.702E-01  5.084E-03
  14  4.256E-01  5.770E-03
  14  4.894E-01  6.538E-03
  14  5.625E-01  7.389E-03
  14  6.468E-01  8.334E-03
  14  7.437E-01  9.374E-03
  14  8.551E-01  1.051E-02
  14  9.831E-01  1.175E-02
  14  1.130E+00  1.308E-02
  14  1.300E+00  1.450E-02
  14  1.494E+00  1.600E-02
  14  1.718E+00  1.756E-02
  14  1.975E+00  1.915E-02
  14  2.271E+00  2.076E-02
  14  2.611E+00  2.235E-02
  14  3.002E+00  2.386E-02
  14  3.452E+00  2.527E-02
  14  3.968E+00  2.652E-02
  14  4.564E+00  2.756E-02
  14  5.247E+00  2.833E-02
  14  6.031E+00  2.881E-02
  14  6.936E+00  2.895E-02
  14  7.974E+00  2.874E-02
  14  9.170E+00  2.816E-02
  14  1.054E+01  2.722E-02
  14  1.212E+01  2.595E-02
  14  1.394E+01  2.439E-02
  14  1.602E+01  2.259E-02
  14  1.842E+01  2.061E-02
  14  2.118E+01  1.852E-02
  14  2.435E+01  1.640E-02
  14  2.800E+01  1.429E-02
  14  3.220E+01  1.227E-02
  14  3.702E+01  1.038E-02
  14  4.256E+01  8.656E-03
  14  4.894E+01  7.112E-03
  14  5.625E+01  5.767E-03
  14  6.468E+01  4.612E-03
  14  7.437E+01  3.641E-03
  14  8.551E+01  2.839E-03
  14  9.831E+01  2.190E-03
  14  1.130E+02  1.670E-03
  14  1.300E+02  1.261E-03
  14  1.494E+02  9.440E-04
  14  1.718E+02  7.004E-04
  14  1.975E+02  5.156E-04
  14  2.271E+02  3.769E-04
  14  2.611E+02  2.737E-04
  14  3.002E+02  1.977E-04
  14  3.452E+02  1.418E-04
  14  3.968E+02  1.015E-04
  14  4.564E+02  7.216E-05
  14  5.247E+02  5.117E-05
  14  6.031E+02  3.619E-05
  14  6.936E+02  2.549E-05
  14  7.974E+02  1.792E-05
  14  9.170E+02  1.256E-05
  14  1.054E+03  8.790E-06
  14  1.212E+03  6.140E-06
  14  1.394E+03  4.283E-06
  14  1.602E+03  2.983E-06
  14  1.842E+03  2.075E-06
  14  2.118E+03  1.442E-06
  14  2.435E+03  1.001E-06
  14  2.800E+03  6.944E-07
  14  3.220E+03  4.811E-07
  14  3.702E+03  3.334E-07
  14  4.256E+03  2.309E-07
  14  4.894E+03  1.597E-07
  14  5.625E+03  1.106E-07
  14  6.468E+03  7.647E-08
  14  7.437E+03  5.286E-08
  14  8.551E+03  3.653E-08
  14  9.831E+03  2.525E-08
  14  1.130E+04  1.744E-08
  14  1.300E+04  1.204E-08
  14  1.494E+04  8.318E-09
  14  1.718E+04  5.745E-09
  14  1.975E+04  3.966E-09
  14  2.271E+04  2.739E-09
  14  2.611E+04  1.890E-09
  14  3.002E+04  1.306E-09
  14  3.452E+04  9.003E-10
  14  3.968E+04  6.221E-10
  14  4.564E+04  4.288E-10
  14  5.247E+04  2.960E-10
  14  6.031E+04  2.044E-10
  14  6.936E+04  1.410E-10
  14  7.974E+04  9.728E-11
  14  9.170E+04  6.710E-11
  14  1.054E+05  4.631E-11
  14  1.212E+05  3.195E-11
  14  1.394E+05  2.205E-11
  14  1.602E+05  1.522E-11
  14  1.842E+05  1.050E-11
  14  2.118E+05  7.241E-12
  14  2.435E+05  4.998E-12
  14  2.800E+05  3.448E-12
  15  3.100E-01  1.710E-04
  15  3.565E-01  1.949E-04
  15  4.098E-01  2.218E-04
  15  4.712E-01  2.521E-04
  15  5.419E-01  2.861E-04
  15  6.228E-01  3.239E-04
  15  7.161E-01  3.660E-04
  15  8.234E-01  4.126E-04
  15  9.467E-01  4.639E-04
  15  1.088E+00  5.198E-04
  15  1.251E+00  5.805E-04
  15  1.439E+00  6.458E-04
  15  1.654E+00  7.152E-04
  15  1.902E+00  7.881E-04
  15  2.187E+00  8.638E-04
  15  2.514E+00  9.410E-04
  15  2.891E+00  1.018E-03
  15  3.323E+00  1.094E-03
  15  3.822E+00  1.166E-03
  15  4.393E+00  1.231E-03
  15  5.053E+00  1.288E-03
  15  5.809E+00  1.334E-03
  15  6.677E+00  1.366E-03
  15  7.679E+00  1.383E-03
  15  8.829E+00  1.382E-03
  15  1.015E+01  1.362E-03
  15  1.167E+01  1.325E-03
  15  1.342E+01  1.269E-03
  15  1.543E+01  1.198E-03
  15  1.774E+01  1.113E-03
  15  2.039E+01  1.017E-03
  15  2.345E+01  9.134E-04
  15  2.696E+01  8.071E-04
  15  3.100E+01  7.010E-04
  15  3.565E+01  5.984E-04
  15  4.098E+01  5.024E-04
  15  4.712E+01  4.148E-04
  15  5.419E+01  3.367E-04
  15  6.228E+01  2.694E-04
  15  7.161E+01  2.120E-04
  15  8.234E+01  1.645E-04
  15  9.467E+01  1.259E-04
  15  1.088E+02  9.509E-05
  15  1.251E+02  7.095E-05
  15  1.439E+02  5.234E-05
  15  1.654E+02  3.822E-05
  15  1.902E+02  2.765E-05
  15  2.187E+02  1.982E-05
  15  2.514E+02  1.410E-05
  15  2.891E+02  9.959E-06
  15  3.323E+02  6.993E-06
  15  3.822E+02  4.874E-06
  15  4.393E+02  3.387E-06
  15  5.053E+02  2.337E-06
  15  5.809E+02  1.608E-06
  15  6.677E+02  1.104E-06
  15  7.679E+02  7.540E-07
  15  8.829E+02  5.138E-07
  15  1.015E+03  3.492E-07
  15  1.167E+03  2.369E-07
  15  1.342E+03  1.604E-07
  15  1.543E+03  1.084E-07
  15  1.774E+03  7.319E-08
  15  2.039E+03  4.933E-08
  15  2.345E+03  3.320E-08
  15  2.696E+03  2.234E-08
  15  3.100E+03  1.501E-08
  15  3.565E+03  1.007E-08
  15  4.098E+03  6.764E-09
  15  4.712E+03  4.536E-09
  15  5.419E+03  3.039E-09
  15  6.228E+03  2.039E-09
  15  7.161E+03  1.365E-09
  15  8.234E+03  9.141E-10
  15  9.467E+03  6.118E-10
  15  1.088E+04  4.095E-10
  15  1.251E+04  2.740E-10
  15  1.439E+04  1.832E-10
  15  1.654E+04  1.226E-10
  15  1.902E+04  8.198E-11
  15  2.187E+04  5.481E-11
  15  2.514E+04  3.665E-11
  15  2.891E+04  2.450E-11
  15  3.323E+04  1.639E-11
  15  3.822E+04  1.094E-11
  15  4.393E+04  7.325E-12
  15  5.053E+04  4.889E-12
  15  5.809E+04  3.268E-12
  15  6.677E+04  2.186E-12
  15  7.679E+04  1.460E-12
  15  8.829E+04  9.756E-13
  15  1.015E+05  6.516E-13
  15  1.167E+05  4.356E-13
  15  1.342E+05  2.910E-13
  15  1.543E+05  1.945E-13
  15  1.774E+05  1.300E-13
  15  2.039E+05  8.684E-14
  15  2.345E+05  5.801E-14
  15  2.696E+05  3.877E-14
  15  3.100E+05  2.590E-14
  16  3.200E-01  6.699E-04
  16  3.680E-01  7.631E-04
  16  4.230E-01  8.678E-04
  16  4.864E-01  9.855E-04
  16  5.594E-01  1.117E-03
  16  6.429E-01  1.264E-03
  16  7.392E-01  1.426E-03
  16  8.499E-01  1.606E-03
  16  9.773E-01  1.803E-03
  16  1.124E+00  2.016E-03
  16  1.292E+00  2.248E-03
  16  1.485E+00  2.495E-03
  16  1.708E+00  2.757E-03
  16  1.964E+00  3.031E-03
  16  2.258E+00  3.313E-03
  16  2.596E+00  3.598E-03
  16  2.984E+00  3.881E-03
  16  3.430E+00  4.154E-03
  16  3.946E+00  4.411E-03
  16  4.534E+00  4.640E-03
  16  5.216E+00  4.836E-03
  16  5.997E+00  4.987E-03
  16  6.893E+00  5.087E-03
  16  7.926E+00  5.128E-03
  16  9.114E+00  5.106E-03
  16  1.048E+01  5.018E-03
  16  1.205E+01  4.866E-03
  16  1.385E+01  4.652E-03
  16  1.593E+01  4.383E-03
  16  1.831E+01  4.068E-03
  16  2.105E+01  3.719E-03
  16  2.421E+01  3.348E-03
  16  2.783E+01  2.967E-03
  16  3.200E+01  2.588E-03
  16  3.680E+01  2.222E-03
  16  4.230E+01  1.879E-03
  16  4.864E+01  1.565E-03
  16  5.594E+01  1.284E-03
  16  6.429E+01  1.039E-03
  16  7.392E+01  8.286E-04
  16  8.499E+01  6.522E-04
  16  9.773E+01  5.069E-04
  16  1.124E+02  3.894E-04
  16  1.292E+02  2.958E-04
  16  1.485E+02  2.223E-04
  16  1.708E+02  1.655E-04
  16  1.964E+02  1.222E-04
  16  2.258E+02  8.945E-05
  16  2.596E+02  6.502E-05
  16  2.984E+02  4.693E-05
  16  3.430E+02  3.370E-05
  16  3.946E+02  2.403E-05
  16  4.534E+02  1.709E-05
  16  5.216E+02  1.207E-05
  16  5.997E+02  8.507E-06
  16  6.893E+02  5.977E-06
  16  7.926E+02  4.183E-06
  16  9.114E+02  2.920E-06
  16  1.048E+03  2.033E-06
  16  1.205E+03  1.414E-06
  16  1.385E+03  9.807E-07
  16  1.593E+03  6.795E-07
  16  1.831E+03  4.701E-07
  16  2.105E+03  3.248E-07
  16  2.421E+03  2.241E-07
  16  2.783E+03  1.545E-07
  16  3.200E+03  1.065E-07
  16  3.680E+03  7.325E-08
  16  4.230E+03  5.042E-08
  16  4.864E+03  3.467E-08
  16  5.594E+03  2.381E-08
  16  6.429E+03  1.638E-08
  16  7.392E+03  1.125E-08
  16  8.499E+03  7.721E-09
  16  9.773E+03  5.298E-09
  16  1.124E+04  3.637E-09
  16  1.292E+04  2.495E-09
  16  1.485E+04  1.711E-09
  16  1.708E+04  1.173E-09
  16  1.964E+04  8.047E-10
  16  2.258E+04  5.517E-10
  16  2.596E+04  3.783E-10
  16  2.984E+04  2.593E-10
  16  3.430E+04  1.779E-10
  16  3.946E+04  1.218E-10
  16  4.534E+04  8.358E-11
  16  5.216E+04  5.721E-11
  16  5.997E+04  3.921E-11
  16  6.893E+04  2.689E-11
  16  7.926E+04  1.842E-11
  16  9.114E+04  1.262E-11
  16  1.048E+05  8.645E-12
  16  1.205E+05  5.926E-12
  16  1.385E+05  4.060E-12
  16  1.593E+05  2.782E-12
  16  1.831E+05  1.907E-12
  16  2.105E+05  1.306E-12
  16  2.421E+05  8.948E-13
  16  2.783E+05  6.132E-13
  16  3.200E+05  4.201E-13
  17  3.500E-01  1.349E-04
  17  4.025E-01  1.538E-04
  17  4.627E-01  1.751E-04
  17  5.320E-01  1.991E-04
  17  6.118E-01  2.260E-04
  17  7.032E-01  2.560E-04
  17  8.085E-01  2.895E-04
  17  9.296E-01  3.266E-04
  17  1.069E+00  3.675E-04
  17  1.229E+00  4.123E-04
  17  1.413E+00  4.609E-04
  17  1.625E+00  5.133E-04
  17  1.868E+00  5.693E-04
  17  2.148E+00  6.282E-04
  17  2.469E+00  6.897E-04
  17  2.839E+00  7.526E-04
  17  3.264E+00  8.159E-04
  17  3.752E+00  8.780E-04
  17  4.316E+00  9.377E-04
  17  4.959E+00  9.924E-04
  17  5.705E+00  1.041E-03
  17  6.559E+00  1.080E-03
  17  7.539E+00  1.108E-03
  17  8.670E+00  1.124E-03
  17  9.968E+00  1.125E-03
  17  1.146E+01  1.111E-03
  17  1.318E+01  1.082E-03
  17  1.515E+01  1.038E-03
  17  1.742E+01  9.799E-04
  17  2.003E+01  9.100E-04
  17  2.303E+01  8.310E-04
  17  2.648E+01  7.457E-04
  17  3.044E+01  6.575E-04
  17  3.500E+01  5.694E-04
  17  4.025E+01  4.843E-04
  17  4.627E+01  4.048E-04
  17  5.320E+01  3.324E-04
  17  6.118E+01  2.682E-04
  17  7.032E+01  2.130E-04
  17  8.085E+01  1.664E-04
  17  9.296E+01  1.280E-04
  17  1.069E+02  9.703E-05
