1965.589041
   Z       E         F
   2  7.496E+03  2.321E-07
   2  8.616E+03  1.579E-07
   2  9.908E+03  1.072E-07
   2  1.139E+04  7.286E-08
   2  1.310E+04  4.949E-08
   2  1.506E+04  3.364E-08
   2  1.732E+04  2.285E-08
   2  1.991E+04  1.553E-08
   2  2.289E+04  1.055E-08
   2  2.632E+04  7.171E-09
   2  3.026E+04  4.871E-09
   2  3.479E+04  3.311E-09
   2  4.000E+04  2.249E-09
   3  7.000E-02  1.818E-02
   3  8.050E-02  2.068E-02
   3  9.254E-02  2.349E-02
   3  1.064E-01  2.663E-02
   3  1.224E-01  3.013E-02
   3  1.406E-01  3.400E-02
   3  1.617E-01  3.829E-02
   3  1.859E-01  4.299E-02
   3  2.138E-01  4.811E-02
   3  2.458E-01  5.363E-02
   3  2.826E-01  5.955E-02
   3  3.249E-01  6.583E-02
   3  3.736E-01  7.239E-02
   3  4.295E-01  7.916E-02
   3  4.939E-01  8.603E-02
   3  5.678E-01  9.285E-02
   3  6.528E-01  9.947E-02
   3  7.504E-01  1.057E-01
   3  8.631E-01  1.113E-01
   3  9.919E-01  1.161E-01
   3  1.141E+00  1.199E-01
   3  1.312E+00  1.225E-01
   3  1.508E+00  1.237E-01
   3  1.734E+00  1.233E-01
   3  1.994E+00  1.214E-01
   3  2.292E+00  1.180E-01
   3  2.636E+00  1.130E-01
   3  3.030E+00  1.067E-01
   3  3.484E+00  9.929E-02
   3  4.005E+00  9.098E-02
   3  4.605E+00  8.206E-02
   3  5.296E+00  7.286E-02
   3  6.088E+00  6.367E-02
   3  7.000E+00  5.476E-02
   3  8.050E+00  4.634E-02
   3  9.254E+00  3.862E-02
   3  1.064E+01  3.169E-02
   3  1.224E+01  2.560E-02
   3  1.406E+01  2.041E-02
   3  1.617E+01  1.603E-02
   3  1.859E+01  1.242E-02
   3  2.138E+01  9.503E-03
   3  2.458E+01  7.187E-03
   3  2.826E+01  5.373E-03
   3  3.249E+01  3.975E-03
   3  3.736E+01  2.914E-03
   3  4.295E+01  2.117E-03
   3  4.938E+01  1.526E-03
   3  5.678E+01  1.092E-03
   3  6.528E+01  7.756E-04
   3  7.504E+01  5.482E-04
   3  8.631E+01  3.848E-04
   3  9.919E+01  2.694E-04
   3  1.141E+02  1.874E-04
   3  1.312E+02  1.300E-04
   3  1.508E+02  8.991E-05
   3  1.734E+02  6.194E-05
   3  1.994E+02  4.258E-05
   3  2.292E+02  2.919E-05
   3  2.636E+02  1.998E-05
   3  3.030E+02  1.365E-05
   3  3.484E+02  9.311E-06
   3  4.005E+02  6.343E-06
   3  4.605E+02  4.315E-06
   3  5.296E+02  2.932E-06
   3  6.088E+02  1.991E-06
   3  7.000E+02  1.350E-06
   3  8.050E+02  9.150E-07
   3  9.254E+02  6.202E-07
   3  1.064E+03  4.199E-07
   3  1.224E+03  2.840E-07
   3  1.406E+03  1.924E-07
   3  1.617E+03  1.301E-07
   3  1.859E+03  8.794E-08
   3  2.138E+03  5.942E-08
   3  2.458E+03  4.017E-08
   3  2.826E+03  2.713E-08
   3  3.249E+03  1.832E-08
   3  3.736E+03  1.238E-08
   3  4.295E+03  8.358E-09
   3  4.938E+03  5.643E-09
   3  5.678E+03  3.811E-09
   3  6.528E+03  2.572E-09
   3  7.504E+03  1.738E-09
   3  8.631E+03  1.172E-09
   3  9.919E+03  7.917E-10
   3  1.141E+04  5.336E-10
   3  1.312E+04  3.602E-10
   3  1.508E+04  2.433E-10
   3  1.734E+04  1.641E-10
   3  1.994E+04  1.107E-10
   3  2.292E+04  7.468E-11
   3  2.636E+04  5.041E-11
   3  3.030E+04  3.401E-11
   3  3.484E+04  2.295E-11
   3  4.005E+04  1.549E-11
   3  4.605E+04  1.045E-11
   3  5.296E+04  7.049E-12
   3  6.088E+04  4.758E-12
   3  7.000E+04  3.209E-12
   4  9.000E-02  7.206E-03
   4  1.035E-01  8.210E-03
   4  1.190E-01  9.337E-03
   4  1.368E-01  1.060E-02
   4  1.573E-01  1.203E-02
   4  1.808E-01  1.360E-02
   4  2.079E-01  1.536E-02
   4  2.390E-01  1.729E-02
   4  2.749E-01  1.942E-02
   4  3.160E-01  2.173E-02
   4  3.633E-01  2.423E-02
   4  4.178E-01  2.691E-02
   4  4.803E-01  2.974E-02
   4  5.522E-01  3.270E-02
   4  6.350E-01  3.576E-02
   4  7.300E-01  3.885E-02
   4  8.393E-01  4.191E-02
   4  9.648E-01  4.487E-02
   4  1.110E+00  4.765E-02
   4  1.275E+00  5.012E-02
   4  1.467E+00  5.222E-02
   4  1.687E+00  5.381E-02
   4  1.939E+00  5.482E-02
   4  2.229E+00  5.517E-02
   4  2.563E+00  5.479E-02
   4  2.947E+00  5.367E-02
   4  3.389E+00  5.181E-02
   4  3.896E+00  4.925E-02
   4  4.479E+00  4.608E-02
   4  5.150E+00  4.240E-02
   4  5.921E+00  3.836E-02
   4  6.809E+00  3.410E-02
   4  7.827E+00  2.979E-02
   4  9.000E+00  2.556E-02
   4  1.035E+01  2.153E-02
   4  1.190E+01  1.783E-02
   4  1.368E+01  1.451E-02
   4  1.573E+01  1.160E-02
   4  1.808E+01  9.131E-03
   4  2.079E+01  7.069E-03
   4  2.390E+01  5.390E-03
   4  2.749E+01  4.051E-03
   4  3.160E+01  3.005E-03
   4  3.633E+01  2.200E-03
   4  4.178E+01  1.592E-03
   4  4.803E+01  1.140E-03
   4  5.522E+01  8.080E-04
   4  6.349E+01  5.676E-04
   4  7.300E+01  3.956E-04
   4  8.393E+01  2.736E-04
   4  9.648E+01  1.881E-04
   4  1.110E+02  1.284E-04
   4  1.275E+02  8.733E-05
   4  1.467E+02  5.897E-05
   4  1.687E+02  3.972E-05
   4  1.939E+02  2.667E-05
   4  2.229E+02  1.783E-05
   4  2.563E+02  1.189E-05
   4  2.948E+02  7.901E-06
   4  3.389E+02  5.245E-06
   4  3.896E+02  3.473E-06
   4  4.479E+02  2.297E-06
   4  5.150E+02  1.517E-06
   4  5.921E+02  9.998E-07
   4  6.809E+02  6.582E-07
   4  7.827E+02  4.331E-07
   4  9.000E+02  2.846E-07
   4  1.035E+03  1.868E-07
   4  1.190E+03  1.227E-07
   4  1.368E+03  8.047E-08
   4  1.573E+03  5.272E-08
   4  1.808E+03  3.459E-08
   4  2.079E+03  2.265E-08
   4  2.390E+03  1.483E-08
   4  2.749E+03  9.709E-09
   4  3.160E+03  6.356E-09
   4  3.633E+03  4.158E-09
   4  4.178E+03  2.720E-09
   4  4.803E+03  1.779E-09
   4  5.522E+03  1.164E-09
   4  6.350E+03  7.609E-10
   4  7.300E+03  4.976E-10
   4  8.393E+03  3.253E-10
   4  9.648E+03  2.128E-10
   4  1.110E+04  1.390E-10
   4  1.275E+04  9.096E-11
   4  1.467E+04  5.936E-11
   4  1.687E+04  3.880E-11
   4  1.939E+04  2.538E-11
   4  2.229E+04  1.658E-11
   4  2.563E+04  1.083E-11
   4  2.948E+04  7.077E-12
   4  3.388E+04  4.626E-12
   4  3.896E+04  3.023E-12
   4  4.479E+04  1.975E-12
   4  5.150E+04  1.291E-12
   4  5.921E+04  8.435E-13
   4  6.808E+04  5.510E-13
   4  7.827E+04  3.601E-13
   4  9.000E+04  2.353E-13
   5  1.100E-01  2.146E-02
   5  1.265E-01  2.445E-02
   5  1.454E-01  2.779E-02
   5  1.672E-01  3.155E-02
   5  1.923E-01  3.576E-02
   5  2.210E-01  4.043E-02
   5  2.541E-01  4.561E-02
   5  2.922E-01  5.133E-02
   5  3.359E-01  5.759E-02
   5  3.862E-01  6.438E-02
   5  4.441E-01  7.172E-02
   5  5.106E-01  7.956E-02
   5  5.871E-01  8.782E-02
   5  6.750E-01  9.644E-02
   5  7.761E-01  1.053E-01
   5  8.922E-01  1.142E-01
   5  1.026E+00  1.230E-01
   5  1.179E+00  1.314E-01
   5  1.356E+00  1.393E-01
   5  1.559E+00  1.462E-01
   5  1.793E+00  1.520E-01
   5  2.061E+00  1.563E-01
   5  2.369E+00  1.589E-01
   5  2.725E+00  1.596E-01
   5  3.133E+00  1.582E-01
   5  3.602E+00  1.547E-01
   5  4.142E+00  1.491E-01
   5  4.762E+00  1.416E-01
   5  5.475E+00  1.324E-01
   5  6.294E+00  1.218E-01
   5  7.237E+00  1.102E-01
   5  8.322E+00  9.806E-02
   5  9.567E+00  8.579E-02
   5  1.100E+01  7.378E-02
   5  1.265E+01  6.235E-02
   5  1.454E+01  5.183E-02
   5  1.672E+01  4.236E-02
   5  1.923E+01  3.405E-02
   5  2.210E+01  2.697E-02
   5  2.541E+01  2.102E-02
   5  2.922E+01  1.615E-02
   5  3.359E+01  1.223E-02
   5  3.862E+01  9.150E-03
   5  4.441E+01  6.760E-03
   5  5.106E+01  4.938E-03
   5  5.871E+01  3.571E-03
   5  6.750E+01  2.558E-03
