  kft    grams/cm^2
 24.50,  391.8565
 24.60,  390.1535
 24.70,  388.4608
 24.80,  386.7783
 24.90,  385.0957
 25.00,  383.4132
 25.10,  381.7511
 25.20,  380.0787
 25.30,  378.4268
 25.40,  376.7749
 25.50,  375.1229
 25.60,  373.4812
 25.70,  371.8496
 25.80,  370.2181
 25.90,  368.5967
 26.00,  366.9754
 26.10,  365.3642
 26.20,  363.7633
 26.30,  362.1623
 26.40,  360.5614
 26.50,  358.9808
 26.60,  357.3901
 26.70,  355.8197
 26.80,  354.2391
 26.90,  352.6790
 27.00,  351.1188
 27.10,  349.5586
 27.20,  348.0087
 27.30,  346.4689
 27.40,  344.9291
 27.50,  343.3996
 27.60,  341.8700
 27.70,  340.3404
 27.80,  338.8312
 27.90,  337.3221
 28.00,  335.8129
 28.10,  334.3139
 28.20,  332.8149
 28.30,  331.3261
 28.40,  329.8475
 28.50,  328.3689
 28.60,  326.8904
 28.70,  325.4220
 28.80,  323.9638
 28.90,  322.5056
 29.00,  321.0576
 29.10,  319.6096
 29.20,  318.1616
 29.30,  316.7340
 29.40,  315.2962
 29.50,  313.8686
 29.60,  312.4512
 29.70,  311.0338
 29.80,  309.6266
 29.90,  308.2194
 30.00,  306.8223
 30.10,  305.4253
 30.20,  304.0385
 30.30,  302.6517
 30.40,  301.2751
 30.50,  299.8985
 30.60,  298.5321
 30.70,  297.1656
 30.80,  295.8094
 30.90,  294.4532
 31.00,  293.1072
 31.10,  291.7611
 31.20,  290.4253
 31.30,  289.0895
 31.40,  287.7639
 31.50,  286.4382
 31.60,  285.1228
 31.70,  283.8074
 31.80,  282.5021
 31.90,  281.1969
 32.00,  279.8916
 32.10,  278.5966
 32.20,  277.3118
 32.30,  276.0269
 32.40,  274.7523
 32.50,  273.4674
 32.60,  272.2030
 32.70,  270.9385
 32.80,  269.6741
 32.90,  268.4198
 33.00,  267.1656
 33.10,  265.9215
 33.20,  264.6775
 33.30,  263.4436
 33.40,  262.2098
 33.50,  260.9861
 33.60,  259.7625
 33.70,  258.5388
 33.80,  257.3253
 33.90,  256.1221
 34.00,  254.9188
 34.10,  253.7155
 34.20,  252.5225
 34.30,  251.3294
 34.40,  250.1465
 34.50,  248.9637
 34.60,  247.7808
 34.70,  246.6081
 34.80,  245.4456
 34.90,  244.2832
 35.00,  243.1207
 35.20,  240.8161
 35.40,  238.5218
 35.60,  236.2580
 35.80,  234.0044
 36.00,  231.7712
 36.20,  229.5483
 36.40,  227.3559
 36.60,  225.1839
 36.80,  223.0323
 37.00,  220.8909
 37.20,  218.7801
 37.40,  216.6897
 37.60,  214.6094
 37.80,  212.5598
 38.00,  210.5306
 38.20,  208.5115
 38.40,  206.5231
 38.60,  204.5448
 38.80,  202.5870
 39.00,  200.6495
 39.20,  198.7325
 39.40,  196.8256
 39.60,  194.9391
 39.80,  193.0832
 40.00,  191.2273
 40.20,  189.4020
 40.40,  187.5870
 40.60,  185.7923
 40.80,  184.0179
 41.00,  182.2538
 41.20,  180.5101
 41.40,  178.7868
 41.60,  177.0737
 41.80,  175.3810
 42.00,  173.7086
 42.20,  172.0465
 42.40,  170.3945
 42.60,  168.7630
 42.80,  167.1518
 43.00,  165.5509
 43.20,  163.9703
 43.40,  162.4000
 43.60,  160.8500
 43.80,  159.3102
 44.00,  157.7807
 44.20,  156.2715
 44.40,  154.7827
 44.60,  153.2939
 44.80,  151.8357
 45.00,  150.3775
 45.20,  148.9397
 45.40,  147.5121
 45.60,  146.1049
 45.80,  144.7079
 46.00,  143.3211
 46.20,  141.9547
 46.40,  140.5984
 46.60,  139.2524
 46.80,  137.9166
 47.00,  136.6012
 47.20,  135.2857
 47.40,  133.9907
 47.60,  132.7160
 47.80,  131.4414
 48.00,  130.1871
 48.20,  128.9431
 48.40,  127.7092
 48.60,  126.4856
 48.80,  125.2721
 49.00,  124.0790
 49.20,  122.8860
 49.40,  121.7133
 49.60,  120.5508
 49.80,  119.3985
 50.00,  118.2565
 50.20,  117.1246
 50.40,  116.0029
 50.60,  114.8914
 50.80,  113.7901
 51.00,  112.7092
 51.20,  111.6283
 51.40,  110.5576
 51.60,  109.4971
 51.80,  108.4570
 52.00,  107.4169
 52.20,  106.3870
 52.40,  105.3673
 52.60,  104.3577
 52.80,  103.3686
 53.00,  102.3795
 53.20,  101.3995
 53.40,  100.4298
 53.60,   99.4692
 53.80,   98.5178
 54.00,   97.5746
 54.20,   96.6415
 54.40,   95.7167
 54.60,   94.8010
 54.80,   93.8944
 55.00,   92.9961
 55.20,   92.1069
 55.40,   91.2248
 55.60,   90.3530
 55.80,   89.4882
 56.00,   88.6317
 56.20,   87.7843
 56.40,   86.9440
 56.60,   86.1130
 56.80,   85.2890
 57.00,   84.4733
 57.20,   83.6646
 57.40,   82.8642
 57.60,   82.0718
 57.80,   81.2867
 58.00,   80.5086
 58.20,   79.7387
 58.40,   78.9760
 58.60,   78.2204
 58.80,   77.4719
 59.00,   76.7306
 59.20,   75.9964
 59.40,   75.2693
 59.60,   74.5494
 59.80,   73.8366
 60.00,   73.1300
 61.00,   69.6986
 62.00,   66.4274
 63.00,   63.3101
 64.00,   60.3397
 65.00,   57.5079
 66.00,   54.8097
 67.00,   52.2401
 68.00,   49.7958
 69.00,   47.4678
 70.00,   45.2519
 71.00,   43.1421
 72.00,   41.1343
 73.00,   39.2224
 74.00,   37.4011
 75.00,   35.6676
 76.00,   34.0157
 77.00,   32.4433
 78.00,   30.9453
 79.00,   29.5177
 80.00,   28.1584
 81.00,   26.8634
 82.00,   25.6306
 83.00,   24.4548
 84.00,   23.3342
 85.00,   22.2675
 86.00,   21.2499
 87.00,   20.2801
 88.00,   19.3562
