START-----------------------
N, 49.176461, W, 29.385510, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 49.786540, W, 30.094792, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 50.405375, W, 30.801124, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 51.033307, W, 31.504382, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 51.670690, W, 32.204436, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 52.317888, W, 32.901149, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 52.975275, W, 33.594383, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 53.643238, W, 34.283991, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 54.322171, W, 34.969820, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 55.012484, W, 35.651713, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 55.714596, W, 36.329504, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 56.428937, W, 37.003023, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 57.155951, W, 37.672091, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 57.896093, W, 38.336520, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 58.649828, W, 38.996118, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 59.417634, W, 39.650682, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 60.200000, W, 40.300000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
STOP-----------------------
